"content","username","tweet_published_at","type"
"ini serius Coldplay mau konser di Indo?","fahmiach_","2023-05-02 06:43:55+07","tweet"
"Gak sabar nonton coldplay 🥹🥲 @woootamelon semoga kita berdua kebagian tiketnya ya Allah","LSuroyaa","2023-05-02 06:42:14+07","tweet"
"Kayak 50% masih nangisin ten, 25% kepikiran txt, 20% kepikiran coldplay, 5% macam macam album svt 😭","chittenyawn","2023-05-02 06:29:04+07","tweet"
"Trus apa Coldplay ngerasa dia plagiat? Enggak. Krn mereka emg ngerasa gak ngelakuin itu.
Dan krn Viva La Vida terkenal makanya org take advantage of it.","lacvnna","2023-05-02 06:16:23+07","replied_to"
"coldplay ke indonesia cmn 1x yang mo b nntn krim ktp jo","rialdi_achmad","2023-05-11 19:36:52+07","tweet"
"Bukannya lisa lebih ke liriknya yg sama? Klo menurut gw ini emg nadanya kebetulan sama, seperti yg gw bilang musik hanya ada 7 not.

Kejadian kaya gini gak satu dua kali terjadi. Cth Viva La Vida - Coldplay nadanya ada yg sama kaya If I could Fly - Joe Satriani.","lacvnna","2023-05-02 06:16:22+07","tweet"
"aamiin. konser kpop banyak banget, belum lagi coldplay ke indonesia (katanya) coba gimana 🥹🫶🏻","dinday6_","2023-05-02 21:24:50+07","retweet"
"this! https://t.co/iR9lEJhKSs","Positvevbs","2023-05-02 12:29:28+07","tweet"
"Meski belum terkonfirmasi secara resmi, desas-desus kehadiran Coldplay ke Indonesia sudah ramai dibahas di media sosial.  https://t.co/eSa37vqIrL","mediaindonesia","2023-05-03 17:15:04+07","tweet"
"Uang bisa dicari, Coldplay ke Indonesia cuma sekali, kita war sampe matiiiiyyyy!!! 🤣🤣🤣

Yuk bisa yuk nunggu sampe tanggal 9 Mei 🫠🫠","teybeezzyy","2023-05-03 16:49:09+07","tweet"
"coldplay ke Indonesia berarti undangan berkumpul WNI","simasdimo","2023-05-03 14:37:07+07","tweet"
"Turnamen di Jakarta bisa besok lagi, Coldplay ke Indonesia kapan lagi 😌","nurizkov","2023-05-03 12:14:24+07","retweet"
"-rek uang bisa dicari, tapi coldplay ke indonesia seumur hidup sekali.mari kita nabung 🙌🏻 https://t.co/5fIhwe2d9y","sbyfess","2023-05-03 11:40:00+07","tweet"
"coldplay ke indonesia, tapi gua di jepang aamiin🙏","abdinanaonan","2023-05-03 23:37:14+07","tweet"
"Akhirnya coldplay ke indonesia😭😭😭 yuk yuk bisa yuk dapet tiketnya","agtesther_","2023-05-03 22:06:13+07","tweet"
"Fix ini Coldplay ke Indonesia tgl 15 November 2023? Ntar gajadi lg kek Pildun U-20 maren 😭","officialwasa48","2023-05-03 21:32:16+07","tweet"
"Sembari menunggu kepastian kedatangan band Coldplay ke Indonesia, yuk kita simak perkiraan harga tiket konsernya di bawah ini!

https://t.co/KBDDSJQFNa https://t.co/6qhx70TTOu","IDNTimes","2023-05-04 20:59:24+07","tweet"
"Hayuuu nabungg coldplay ke Indonesia 😚😚","jswar_byJasmine","2023-05-04 12:59:10+07","tweet"
"wake up.. coldplay ke indonesia huaa padahal dulu pernah ditanya kalo bs nonton konser band luar mau nonton siapa? jawabannya pasti coldplay","dazzlingwarm","2023-05-04 12:55:39+07","retweet"
"wst COLDPLAY BENERAN KE INDO?!?!?!!!??😭😭😭😭😭 YA ALLAH UANG MANA UANG https://t.co/vpvOXU2E5H","westenthu","2023-05-03 21:20:01+07","tweet"
"2023

Juni : Argentina ke indonesia 🇦🇷
November : Coldplay ke indonesia 🌟","Rhezavincentius","2023-05-05 07:50:28+07","tweet"
"Messi ke Indonesia &gt; Coldplay ke Indonesia","Valkyreds","2023-05-05 01:57:12+07","retweet"
"La Selección Argentina va a jugar dos partidos en Asia. Van a ser en la fecha FIFA de Junio. Los dos destinos que se perfilan: China e Indonesia. Un partido en cada país.
Argentina vs China.
Argentina vs Indonesia.
Esta noche lo desarrollamos en https://t.co/r6gw0hNzts","gastonedul","2023-05-04 22:43:35+07","tweet"
"uang bisa dicari, coldplay ke Indonesia belum tentu datang lagi","tupaivv","2023-05-05 16:07:09+07","retweet"
"[BREAKING] FIRST SIGNAL FOUND 📡👽🇮🇩 #MOTSWT https://t.co/Cc9cTH874Q","IDWantsColdplay","2023-05-05 09:13:52+07","tweet"
"@jn_jiu @mistamosby Ga suka coldplay 😭😭😭","COMRADE_SOLAR","2023-05-04 00:07:38+07","replied_to"
"uang bisa dicari, coldplay ke Indonesia belum tentu datang lagi 🤣","pandapandul","2023-05-05 16:06:41+07","retweet"
"uang bs dicari tp coldplay ke indonesia kapan lagi 
ya begitu lah kira2","spicyenoki","2023-05-05 15:15:09+07","tweet"
"👀👀👀

Coldplay ke Indonesia = Motivasi sesungguhnya untuk lebih giat jualan dan bekerja mencari cuan~

Yuk, bisa nabung, yukkk!","kgxpress_id","2023-05-05 14:16:13+07","retweet"
"Huhu ada lagiii, HALOOO @coldplay https://t.co/71sk0h582e","bekstreettt","2023-05-05 12:46:14+07","replied_to"
"Coldplay ke indonesia tu november kan yaa, please kali ini harus dapett harus nontonnn😭🙏","nuctxlla","2023-05-05 11:22:36+07","tweet"
"tahun ini gokil sih banyak rumor menarik :

- juni kabarnya messi ke indonesia
- coldplay ke indonesia
- bmth ke indonesia
- paramore ke indonesia

yaAllah uang menjerit😭","myrezandy","2023-05-05 10:13:21+07","tweet"
"Berita coldplay dateng ke indonesia wara wiri di sosmed, bagi orang kayak saya ya ttp gak bisa beli mending uangnya buat yang lain.
Tahu sih dengan kata kata begini “kan belum tentu tahun depan coldplay ke indonesia” iya tau iyaaa","norma_dks1","2023-05-05 22:47:25+07","tweet"
