content	username
['sabar', 'nonton', 'coldplay', 'berdua', 'tiketnya', 'allah']	LSuroyaa
['suka', 'coldplay']	COMRADE_SOLAR
['huhu', 'halooo']	bekstreettt
['salah', 'tanda', 'indonesia', 'tur', 'dunia', 'videotron', 'jakarta', 'mei', 'konfirmasi', 'asia', 'mei', 'ready', 'coldplayer']	SeleccionINA
['bismillah', 'war', 'tiket', 'aamiin']	finyjr
['kesempatan', 'coldplay', 'indonesia', 'kyknya', 'nonton', 'berbekal', 'viva', 'vida']	Mommyshark1717
['april', 'akun', 'terkait', 'coldplay', 'indonesia']	buddykuofficial
['coldplay', 'indonesia', 'konser', 'coldplay']	leisbedumb
['iyaaa', 'lumayan', 'coldplay', 'bawa', 'coldplay', 'indonesia', 'sesusah']	nciNINGIE
['announcement', 'coldplay', 'indonesia', 'smoke', 'screen', 'error', 'kemaren', 'subuh', 'sampe', 'mobile', 'dibuka']	syarif_acil
['coldplay', 'indonesia']	denanfalah
['percaya', 'blm', 'coldplay', 'indonesia', 'wkwkwkkws']	pemudalincah
['welcome', 'indonesia', 'indonesiawantscoldplay']	IDWantsColdplay
['umur', 'coldplay', 'indonesia', 'penantian']	paparazilicous
['coldplay', 'indonesia']	arzenaers
['dicari', 'coldplay', 'indonesia', 'info', 'pinjol', 'jual', 'dibawah', 'terimakasih']	anggriawwan
['dicari', 'coldplay', 'indonesia']	rrex_xona
['dicari', 'coldplay', 'indonesia', 'info', 'pinjol', 'terimakasih']	msyanandaa
['bodo', 'bola', 'main', 'coldplay', 'belasan', 'coldplay', 'indonesia', 'kesampean']	Dhikalicious
['lelaki', 'alias', 'bapaknya', 'akuuu', 'manas', 'mansin', 'dicari', 'coldplay', 'indonesia']	susanucan
['rinjani', 'coldplay', 'indonesia']	riscowahyudii
['fmd', 'coldplay', 'indonesia', 'seumur', 'hidup', 'dibedain']	nayelpotatoes
['netizen', 'coldplay', 'indonesia', 'band', 'favorit', 'pilihannya', 'band', 'anti', 'mainstream', 'biar', 'musikalitas', 'coldplay']	monorahab
['anjir', 'coldplay', 'indonesia']	Lalapolala__
['doa', 'coldplay', 'indonesia']	tifaarqi
['anjir', 'coldplay', 'indonesia']	AdyasariReina
['keren', 'coldplay', 'indonesia']	ulfiabasry
['coldplay', 'indonesia']	nurfayaalfa
['duit', 'dicari', 'coldplay', 'indonesia', 'info', 'jual', 'dibawah']	ilangwe
['dicari', 'coldplay', 'indonesia']	pabloestafet
['ijin', 'koasnya', 'ditunda', 'aje', 'coldplay', 'indonesia', 'kuliah', 'taun']	FallennnnS
['kerja', 'lin', 'coldplay', 'indonesia']	ekoesetiawan11
['jalan', 'jalan', 'terhenti', 'indonesia', 'info', 'jual', 'sertifikat', 'tanah', 'dibawah']	Sego_karak13
['duit', 'dicari', 'coldplay', 'indonesia']	adammmsan
['coldplay', 'indonesia', 'koreksi', 'biar', 'ky']	iamshrkhd
['duit', 'dicari', 'coldplay', 'raya', 'coldplay', 'indonesia']	Thesinnerishere
['dicari', 'coldplay', 'indonesia', 'ktpmu']	dimasadan_
['mikirin', 'coldplay', 'indonesia', 'indonesia', 'kemana']	masihnooob
['coldplay', 'indonesia', 'fifa', 'matchday']	JoeArifiando92
['makan', 'coldplay', 'indonesia', 'cuman']	hkml07_
['dicari', 'coldplay', 'indonesia']	babeyaga_
['dicari', 'indonesia', 'ktpmu']	rizaldiabdilah
['dicari', 'coldplay', 'indonesia']	marcellinaape
['dicari', 'coldplay', 'indonesia', 'taun']	xamperinn
['coldplay', 'rinjani', 'kemana', 'tetep', 'indonesia', 'coldplay', 'indonesia']	jezziejel
['rinjani', 'kemana2', 'coldplay', 'indonesia']	sungoldhin
['sat', 'set', 'sat', 'set']	arifnrokhman
['dicari', 'coldplay', 'indonesia', 'cuman']	rhxans
['dunia', 'coldplay', 'indonesia']	malkaleegra
['biarkan', 'indonesia', 'atheis', 'pancasila']	miloknight77
['coldplay', 'indonesia']	herdiansyh__
['lupa', 'pokoknya', 'libur', 'selasarabu', 'rabukamis', 'coldplay', 'indonesia']	inasmfdti
['pinjol', 'dilunasi', 'coldplay', 'indonesia']	Styopebri
['duit', 'dicari', 'coldplay', 'indonesia', 'ktp', 'pinjol', 'diciptakan', 'alasan']	aridwan05
['coldplay', 'indonesia', 'tiket']	abangudinn_
['album', 'parachutes', 'mylo', 'xyloto', 'stories', 'ahfod', 'tour', 'coldplay', 'indonesia', 'citacita', 'proposal', 'promotor', 'ku', 'tercapai', 'team', 'murah']	lauvyoubeb
['bawa', 'coldplay', 'indonesia', 'heh', 'heh']	ahmadfaiqfkhr
['lho', 'lho', 'lho', 'coldplay', 'bahaya', 'takutnya', 'bawa', 'bom', 'coldplay', 'indonesia']	Slurrpee2
['liat', 'coldplay', 'live', 'concert', 'jakarta']	thehot_man
['coldplay', 'indonesia', 'cuman', 'konser', 'aneh', 'suci', 'anjir']	Tari_Sun_Flower
['prinsipnya', 'duit', 'fans', 'coldplay', 'nonton', 'nonton', 'anjir', 'coldplay', 'indonesia']	boombongie
['coldplay']	kikir
['yakan', 'coldplay', 'indonesia', 'darpd', 'deket', 'daerah', 'min', 'bela2in', 'jkt', 'amp', 'stasiun', 'sky', 'full', 'stars', 'pliss']	pink_ranger05
['konser', 'coldplay', 'indonesia', 'nyanyi', 'woy', 'berdakwah', 'aneh', 'parah', 'nyari']	rafirsin
['coldplay', 'indonesia']	kitoorah
['simbol2', 'kesana', 'tau', 'kultur', 'kerterlaluan', 'nikmatin', 'coldplay', 'indonesia']	Yudiansyahjr
['lama2', 'coldplay', 'indonesia', 'indonesia', 'fans', 'madrid', 'chuaks']	Ravico27
