content	username	mentioned
Gak sabar nonton coldplay 🥹🥲 @woootamelon semoga kita berdua kebagian tiketnya ya Allah	LSuroyaa	['@woootamelon']
@jn_jiu @mistamosby Ga suka coldplay 😭😭😭	COMRADE_SOLAR	['@jn_jiu', '@mistamosby']
Huhu ada lagiii, HALOOO @coldplay https://t.co/71sk0h582e	bekstreettt	['@coldplay']
Salah satu tanda @coldplay ke Indonesia untuk Tur dunia yaitu adanya sebuah Videotron di sejumlah gedung di Jakarta pada tanggal 5-6 Mei ini. Tapi pihak @coldplay akan konfirmasi kedatangan mereka ke Asia tanggal 9 Mei ini. ready Coldplayer https://t.co/zPnaMQ0EZB	SeleccionINA	['@coldplay', '@coldplay']
@IDWantsColdplay @coldplay Bismillah menang war tiket AAMIIN	finyjr	['@IDWantsColdplay', '@coldplay']
@_titaamelia lohhhh ini kesempatan lohh kapan lagi coldplay ke Indonesia, aku aja kyknya nntn berbekal lagu viva la vida	Mommyshark1717	['@_titaamelia']
Sehari kemudian tepatnya pada tanggal 7 April 2023 akun instagram @jakartakonser ikut memberikan petunjuk terkait kedatangan Coldplay ke Indonesia. https://t.co/qkTz2nc5Jj	buddykuofficial	['@jakartakonser']
@hrdbacot denger denger karena ini pertama kali nya coldplay ke indonesia ada tunjungan konser coldplay	leisbedumb	['@hrdbacot']
@COLDEpikmi @THVpikmi iyaaa makanya lumayan kaget jg pas coldplay ini, tapi emg bawa coldplay ke indonesia sesusah itu sih 🥲	nciNINGIE	['@COLDEpikmi', '@THVpikmi']
"Announcement Coldplay ke Indonesia jangan jangan ""smoke screen"" kalo @bankbsi_id masih error dari kemaren subuh dan sampe detik ini BSI Mobile nggak bisa dibuka. LOL!"	syarif_acil	['@bankbsi_id']
@windyaqma gamaoooo, kapan lagi coldplay ke indonesia😭	denanfalah	['@windyaqma']
jd udah percaya blm coldplay ke indonesia @pinchipowww ? wkwkwkkws	pemudalincah	['@pinchipowww']
"Welcome to INDONESIA! @coldplay 
#IndonesiaWantsColdplay 🇮🇩 https://t.co/nigyjycC9V"	IDWantsColdplay	['@coldplay']
