content	username	tweet_published_at	type
Gak sabar nonton coldplay 🥹🥲 @woootamelon semoga kita berdua kebagian tiketnya ya Allah	LSuroyaa	2023-05-02 06:42:14+07	tweet
@jn_jiu @mistamosby Ga suka coldplay 😭😭😭	COMRADE_SOLAR	2023-05-04 00:07:38+07	replied_to
Huhu ada lagiii, HALOOO @coldplay https://t.co/71sk0h582e	bekstreettt	2023-05-05 12:46:14+07	replied_to
Salah satu tanda @coldplay ke Indonesia untuk Tur dunia yaitu adanya sebuah Videotron di sejumlah gedung di Jakarta pada tanggal 5-6 Mei ini. Tapi pihak @coldplay akan konfirmasi kedatangan mereka ke Asia tanggal 9 Mei ini. ready Coldplayer https://t.co/zPnaMQ0EZB	SeleccionINA	2023-05-07 10:42:19+07	tweet
@IDWantsColdplay @coldplay Bismillah menang war tiket AAMIIN	finyjr	2023-05-08 23:02:38+07	replied_to
@_titaamelia lohhhh ini kesempatan lohh kapan lagi coldplay ke Indonesia, aku aja kyknya nntn berbekal lagu viva la vida	Mommyshark1717	2023-05-09 12:49:00+07	tweet
Sehari kemudian tepatnya pada tanggal 7 April 2023 akun instagram @jakartakonser ikut memberikan petunjuk terkait kedatangan Coldplay ke Indonesia. https://t.co/qkTz2nc5Jj	buddykuofficial	2023-05-09 14:43:21+07	replied_to
@hrdbacot denger denger karena ini pertama kali nya coldplay ke indonesia ada tunjungan konser coldplay	leisbedumb	2023-05-09 14:09:20+07	replied_to
@COLDEpikmi @THVpikmi iyaaa makanya lumayan kaget jg pas coldplay ini, tapi emg bawa coldplay ke indonesia sesusah itu sih 🥲	nciNINGIE	2023-05-09 11:37:44+07	tweet
"Announcement Coldplay ke Indonesia jangan jangan ""smoke screen"" kalo @bankbsi_id masih error dari kemaren subuh dan sampe detik ini BSI Mobile nggak bisa dibuka. LOL!"	syarif_acil	2023-05-09 09:59:34+07	tweet
@windyaqma gamaoooo, kapan lagi coldplay ke indonesia😭	denanfalah	2023-05-09 11:25:23+07	replied_to
jd udah percaya blm coldplay ke indonesia @pinchipowww ? wkwkwkkws	pemudalincah	2023-05-09 10:37:41+07	tweet
"Welcome to INDONESIA! @coldplay 
#IndonesiaWantsColdplay 🇮🇩 https://t.co/nigyjycC9V"	IDWantsColdplay	2023-05-09 09:04:36+07	tweet
@IDWantsColdplay @coldplay ALHAMDULILLAH UMUR DIPANJANGKAN HINGGA COLDPLAY KE INDONESIA JUGA AKHIRNYA, PENANTIAN LAMA TERJADI SUDAH 😭😭😭😭😭😭😭	paparazilicous	2023-05-09 09:18:40+07	replied_to
@ronyjrk @Frimawan Padahal coldplay ke indonesia	arzenaers	2023-05-10 07:24:03+07	replied_to
"@astydewi @roshiro_ Uang bisa dicari. 
tapi Coldplay ke Indonesia hanya sekali. 

Info pinjol dan jual ginjal dibawah. 
Terimakasih 🤣🤣🤣"	anggriawwan	2023-05-10 06:43:44+07	replied_to
"@buahnanaaas Uang bisa dicari
Tapi coldplay ke Indonesia cuma sekali"	rrex_xona	2023-05-10 02:09:24+07	replied_to
@gisellmaf uang bisa dicari tapi coldplay ke Indonesia hanya sekali🙌  info pinjol sekian terimakasih	msyanandaa	2023-05-10 00:51:54+07	replied_to
@GOAL_ID Bodo amat. Bola tiap tahun pasti main, Coldplay belum tentu bakalan ke sini lagi. Udah belasan tahun nih nungguin Coldplay ke Indonesia baru kesampean.	Dhikalicious	2023-05-09 23:11:39+07	replied_to
