raw_content	username	tweet_published_at	type	cleaned_content	mention
Gak sabar nonton coldplay 🥹🥲 @woootamelon semoga kita berdua kebagian tiketnya ya Allah	LSuroyaa	2023-05-02 06:42:14+07	tweet	['sabar', 'nonton', 'coldplay', 'moga', 'dua', 'bagi', 'tiket']	['woootamelon']
@jn_jiu @mistamosby Ga suka coldplay 😭😭😭	COMRADE_SOLAR	2023-05-04 00:07:38+07	replied_to	['suka', 'coldplay']	['jn_jiu', 'mistamosby']
Huhu ada lagiii, HALOOO @coldplay https://t.co/71sk0h582e	bekstreettt	2023-05-05 12:46:14+07	replied_to	['huhu', 'lagiii', 'halooo']	['coldplay']
Salah satu tanda @coldplay ke Indonesia untuk Tur dunia yaitu adanya sebuah Videotron di sejumlah gedung di Jakarta pada tanggal 5-6 Mei ini. Tapi pihak @coldplay akan konfirmasi kedatangan mereka ke Asia tanggal 9 Mei ini. ready Coldplayer https://t.co/zPnaMQ0EZB	SeleccionINA	2023-05-07 10:42:19+07	tweet	['salah', 'tanda', 'indonesia', 'tur', 'dunia', 'videotron', 'gedung', 'jakarta', 'tanggal', 'mei', 'konfirmasi', 'datang', 'asia', 'tanggal', 'mei', 'ready', 'coldplayer']	['coldplay', 'coldplay']
@IDWantsColdplay @coldplay Bismillah menang war tiket AAMIIN	finyjr	2023-05-08 23:02:38+07	replied_to	['menang', 'war', 'tiket', 'aamiin']	['IDWantsColdplay', 'coldplay']
@_titaamelia lohhhh ini kesempatan lohh kapan lagi coldplay ke Indonesia, aku aja kyknya nntn berbekal lagu viva la vida	Mommyshark1717	2023-05-09 12:49:00+07	tweet	['lohhhh', 'sempat', 'lohh', 'coldplay', 'indonesia', 'kyknya', 'nntn', 'bekal', 'lagu', 'viva', 'la', 'vida']	['_titaamelia']
Sehari kemudian tepatnya pada tanggal 7 April 2023 akun instagram @jakartakonser ikut memberikan petunjuk terkait kedatangan Coldplay ke Indonesia. https://t.co/qkTz2nc5Jj	buddykuofficial	2023-05-09 14:43:21+07	replied_to	['tanggal', 'april', 'akun', 'instagram', 'tunjuk', 'kait', 'datang', 'coldplay', 'indonesia']	['jakartakonser']
@hrdbacot denger denger karena ini pertama kali nya coldplay ke indonesia ada tunjungan konser coldplay	leisbedumb	2023-05-09 14:09:20+07	replied_to	['denger', 'denger', 'coldplay', 'indonesia', 'tunjung', 'konser', 'coldplay']	['hrdbacot']
@COLDEpikmi @THVpikmi iyaaa makanya lumayan kaget jg pas coldplay ini, tapi emg bawa coldplay ke indonesia sesusah itu sih 🥲	nciNINGIE	2023-05-09 11:37:44+07	tweet	['iyaaa', 'lumayan', 'kaget', 'coldplay', 'emg', 'bawa', 'coldplay', 'indonesia', 'susah']	['COLDEpikmi', 'THVpikmi']
"Announcement Coldplay ke Indonesia jangan jangan ""smoke screen"" kalo @bankbsi_id masih error dari kemaren subuh dan sampe detik ini BSI Mobile nggak bisa dibuka. LOL!"	syarif_acil	2023-05-09 09:59:34+07	tweet	['announcement', 'coldplay', 'indonesia', 'smoke', 'screen', 'kalo', 'error', 'kemaren', 'subuh', 'sampe', 'detik', 'bsi', 'mobile', 'nggak', 'buka', 'lol']	['bankbsi_id']
@windyaqma gamaoooo, kapan lagi coldplay ke indonesia😭	denanfalah	2023-05-09 11:25:23+07	replied_to	['gamaoooo', 'coldplay', 'indonesia']	['windyaqma']
jd udah percaya blm coldplay ke indonesia @pinchipowww ? wkwkwkkws	pemudalincah	2023-05-09 10:37:41+07	tweet	['jd', 'percaya', 'blm', 'coldplay', 'indonesia', 'wkwkwkkws']	['pinchipowww']
"Welcome to INDONESIA! @coldplay 
#IndonesiaWantsColdplay 🇮🇩 https://t.co/nigyjycC9V"	IDWantsColdplay	2023-05-09 09:04:36+07	tweet	['welcome', 'indonesia', 'indonesiawantscoldplay']	['coldplay']
